State_Name,YY_Crude_Death_Rate_Cdr_Total_Female,AA_Sample_Units_Total,YY_Crude_Death_Rate_Cdr_Rural_Person,AA_Sample_Units_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Rural_Male,AA_Sample_Units_Urban,QQ_Institutional_Delivery_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Rural,YY_Crude_Death_Rate_Cdr_Rural_Female,AA_Households_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Urban,YY_Crude_Death_Rate_Cdr_Urban_Person,AA_Households_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Total,YY_Crude_Death_Rate_Cdr_Urban_Male,QQ_Delivery_At_Government_Institution_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Rural,YY_Crude_Death_Rate_Cdr_Urban_Female,AA_Population_Total,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,AA_Population_Urban,LL_Crude_Birth_Rate_Cbr_Total,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Total,AA_Ever_Married_Women_Aged_15_49_Years_Total,PP_Mothers_Who_Received_Anc_From_Govt_Source_Total,ZZ_Crude_Birth_Rate_Total_Upper_Limit,AA_Ever_Married_Women_Aged_15_49_Years_Rural,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Total,AA_Ever_Married_Women_Aged_15_49_Years_Urban,LL_Natural_Growth_Rate_Total,ZZ_Crude_Birth_Rate_Rural_Upper_Limit,AA_Currently_Married_Women_Aged_15_49_Years_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Total,AA_Currently_Married_Women_Aged_15_49_Years_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Rural,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Rural,ZZ_Crude_Death_Rate_Total_Lower_Limit,AA_Children_12_23_Months_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Total,ZZ_Crude_Death_Rate_Rural_Lower_Limit,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Rural,ZZ_Crude_Death_Rate_Rural_Upper_Limit,EE_Marriages_Among_Males_Below_Legal_Age_21_Years_Total,YY_Crude_Death_Rate_Cdr_Total_Person,RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Total_Male,YY_Infant_Mortality_Rate_Imr_Total_Person,State_District_Name
Assam,5.1,53,6.7,47,76.3,8.1,6,49.6,76.7,5.3,13711,8.2,6.1,12765,62.1,8.7,44.0,61.9,3.4,64606,11.0,12.0,4313,20.4,50.1,12541.0,89.6,21.9,11692.0,4.3,849,13.8,22.7,11876.0,93.5,11075.0,93.4,34.1,5.9,2371,76.5,5.9,76.6,7.5,8.8,6.6,47.8,78.5,8.1,43.0,Barpeta
Assam,4.4,89,6.3,73,79.4,8.0,16,52.0,79.0,4.5,17384,3.0,5.0,14904,52.4,6.3,48.6,52.8,3.7,84012,21.0,22.0,10113,19.2,51.3,16781.0,92.9,20.3,14591.0,3.4,2190,13.1,21.6,15533.0,94.3,13566.0,94.2,37.2,5.6,2451,67.8,5.7,67.5,6.9,9.9,6.1,46.4,66.6,7.8,48.0,Bongaigaon
Assam,6.3,105,7.4,84,80.3,8.3,21,61.5,80.3,6.5,27488,2.1,6.5,24207,64.5,7.7,53.6,63.9,5.4,127158,17.0,18.0,14987,25.3,66.8,23693.0,50.3,26.3,20881.0,2.7,2812,18.0,27.2,21536.0,94.2,18957.0,94.1,23.1,6.8,5709,71.3,6.9,70.6,8.0,4.1,7.3,60.2,77.1,8.2,53.0,Cachar
Assam,7.7,26,8.1,24,71.6,8.5,2,62.4,71.1,7.8,5951,1.1,6.9,5769,56.4,6.8,57.7,56.1,7.1,29048,30.0,30.0,792,20.4,63.8,5424.0,91.3,22.5,5277.0,5.3,147,12.3,22.9,5027.0,93.2,4886.0,93.0,45.7,6.9,984,79.3,6.9,79.5,9.3,11.1,8.1,59.2,70.8,8.4,70.0,Darrang
Assam,3.7,121,4.5,108,77.5,5.3,13,71.6,77.0,3.7,14481,2.0,4.2,12619,66.6,5.2,69.3,65.9,3.2,75451,11.0,11.0,8914,22.6,67.2,14159.0,92.4,23.4,12392.0,7.5,1767,18.1,23.8,13529.0,91.5,11856.0,91.4,31.4,4.1,3467,80.4,4.1,79.9,4.9,9.5,4.5,67.6,78.0,5.3,37.0,Dhemaji
Assam,5.5,42,7.3,35,62.3,8.8,7,38.7,59.9,5.6,11001,0.0,5.4,9954,48.7,6.1,36.8,46.9,4.7,50992,18.0,19.0,4655,21.8,47.5,10136.0,94.1,23.1,9192.0,7.8,944,14.8,24.3,9498.0,89.9,8624.0,89.2,37.0,6.2,1556,72.5,6.4,72.1,8.1,15.5,7.0,43.3,69.4,8.4,69.0,Dhubri
Assam,6.3,91,7.9,66,93.1,9.0,25,79.3,92.7,6.9,21378,0.6,5.8,16514,82.3,7.1,55.4,81.5,4.5,97268,17.0,15.0,20835,19.2,81.7,19376.0,66.3,19.9,15084.0,0.9,4292,11.8,21.1,18037.0,97.5,14064.0,97.3,33.2,7.0,3509,90.6,7.5,89.8,8.4,7.8,7.4,77.1,88.0,8.5,51.0,Dibrugarh
Assam,5.3,64,6.7,56,72.2,7.9,8,54.7,72.4,5.5,15891,0.4,5.9,14630,46.6,7.8,51.0,47.3,3.9,75890,15.0,16.0,5617,21.6,51.2,15297.0,97.5,23.1,14114.0,4.5,1183,15.0,23.5,14293.0,91.8,13201.0,91.8,29.9,6.3,3009,72.2,6.3,72.5,7.1,14.7,6.7,48.1,58.1,7.9,53.0,Goalpara
Assam,7.2,70,8.3,61,89.3,9.2,9,71.3,89.5,7.3,16021,0.6,6.0,14183,69.4,5.9,61.7,69.2,6.1,72165,13.0,14.0,7586,21.5,79.4,14248.0,76.8,22.4,12642.0,1.4,1606,13.5,22.5,13359.0,96.6,11846.0,96.7,31.3,7.3,2387,76.9,7.6,76.8,8.9,7.2,8.0,72.2,85.1,8.8,56.0,Golaghat
Assam,6.0,10,6.9,8,78.6,7.6,2,37.5,78.3,6.1,2802,1.1,5.8,2381,67.1,6.6,34.9,67.6,4.5,13892,16.0,16.0,1906,30.6,46.4,2501.0,54.6,34.7,2134.0,7.4,367,23.8,37.4,2267.0,89.3,1925.0,88.7,25.6,5.7,660,74.1,5.9,73.9,7.9,3.6,6.8,35.5,75.3,7.6,52.0,Hailakandi
