State_District_Name,State_Name,YY_Crude_Death_Rate_Cdr_Total_Female,AA_Sample_Units_Total,YY_Crude_Death_Rate_Cdr_Rural_Person,AA_Sample_Units_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Rural_Male,AA_Sample_Units_Urban,QQ_Institutional_Delivery_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Rural,YY_Crude_Death_Rate_Cdr_Rural_Female,AA_Households_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Urban,YY_Crude_Death_Rate_Cdr_Urban_Person,AA_Households_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Total,YY_Crude_Death_Rate_Cdr_Urban_Male,QQ_Delivery_At_Government_Institution_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Rural,YY_Crude_Death_Rate_Cdr_Urban_Female,AA_Population_Total,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,AA_Population_Urban,LL_Crude_Birth_Rate_Cbr_Total,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Total,AA_Ever_Married_Women_Aged_15_49_Years_Total,PP_Mothers_Who_Received_Anc_From_Govt_Source_Total,ZZ_Crude_Birth_Rate_Total_Upper_Limit,AA_Ever_Married_Women_Aged_15_49_Years_Rural,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Total,AA_Ever_Married_Women_Aged_15_49_Years_Urban,LL_Natural_Growth_Rate_Total,ZZ_Crude_Birth_Rate_Rural_Upper_Limit,AA_Currently_Married_Women_Aged_15_49_Years_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Total,AA_Currently_Married_Women_Aged_15_49_Years_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Rural,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Rural,ZZ_Crude_Death_Rate_Total_Lower_Limit,AA_Children_12_23_Months_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Total,ZZ_Crude_Death_Rate_Rural_Lower_Limit,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Rural,ZZ_Crude_Death_Rate_Rural_Upper_Limit,EE_Marriages_Among_Males_Below_Legal_Age_21_Years_Total,YY_Crude_Death_Rate_Cdr_Total_Person,RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Total,YY_Crude_Death_Rate_Cdr_Total_Male
Jehanabad,Bihar,5.2,98,5.3,87,84.0,5.5,11,73.0,85.3,5.1,21897,7.8,5.4,20629,79.1,4.8,55.8,80.4,5.9,113895,21.0,22.0,6889,23.9,78.9,21855.0,20.5,24.7,20575.0,1.6,1280,18.6,25.0,21206.0,97.7,19981.0,98.0,58.9,5.0,4321,91.0,5.0,91.5,5.6,31.0,5.3,74.3,90.2,5.4
Harda,Madhya Pradesh,6.9,75,7.2,53,88.5,7.4,22,75.3,88.1,7.0,14547,19.7,6.0,10890,61.3,5.8,64.2,60.8,6.3,68116,21.85,22.81,16829,24.5,84.8,13234.0,39.2,25.4,9963.0,4.4,3271,17.5,26.4,12812.0,95.2,9682.0,94.4,30.5,6.4,2622,70.5,6.6,68.9,7.8,7.8,6.9,74.3,72.7,7.0
Kheri,Uttar Pradesh,7.99,41,8.37,34,66.0,8.41,7,53.35,64.68,8.33,12004,7.41,4.96,11032,37.76,5.49,46.56,37.04,4.37,60900,23.62,24.13,4655,26.69,57.14,10373.0,36.68,27.91,9548.0,13.72,825,18.61,28.96,10065.0,83.62,9272.0,82.84,61.96,7.44,2378,48.49,7.71,47.96,9.04,23.22,8.08,61.1,54.95,8.16
Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,7.02,43,7.64,35,53.98,8.0,8,62.81,55.56,7.28,8974,12.64,5.93,7945,42.2,6.56,44.47,43.84,5.22,55736,22.55,20.05,6700,24.41,83.6,10518.0,72.35,26.02,9430.0,17.93,1088,17.0,27.19,10249.0,74.84,9207.0,75.73,53.31,6.76,2038,54.95,6.92,56.64,8.35,24.76,7.41,84.33,50.96,7.8
Kendujhar,Odisha,8.7,97,9.6,78,88.41,10.0,19,72.58,88.56,9.2,15687,2.8,7.5,12590,78.54,8.6,68.46,78.38,6.4,69999,11.0,12.0,14010,20.4,73.87,14473.0,85.93,21.6,11523.0,1.08,2950,11.1,22.2,13497.0,97.33,10777.0,97.31,28.94,8.6,2797,92.13,9.0,91.99,10.2,7.87,9.2,72.97,86.8,9.7
Jorhat,Assam,7.1,163,8.2,123,90.3,9.1,40,80.3,90.3,7.3,39114,1.5,7.1,30471,70.9,7.9,69.0,71.8,6.4,172958,11.0,11.0,36603,19.3,80.5,34941.0,72.5,19.9,27355.0,1.3,7586,11.4,20.6,32640.0,96.8,25582.0,96.8,29.0,7.6,5966,81.0,7.8,81.6,8.7,6.7,7.9,80.1,83.7,8.8
Gajapati,Odisha,7.5,65,7.6,55,87.54,7.7,10,64.07,87.91,7.5,10553,2.82,7.1,9095,48.62,7.6,54.18,47.5,6.7,39319,28.0,28.0,5304,19.9,68.03,7750.0,55.51,21.7,6643.0,2.89,1107,12.4,22.5,7029.0,95.59,6046.0,95.35,57.03,6.8,821,60.13,6.7,59.06,8.6,6.72,7.6,59.26,68.21,7.7
Azamgarh,Uttar Pradesh,8.21,83,9.5,73,62.56,10.63,10,67.75,62.56,8.48,16962,18.69,5.79,15675,56.68,6.39,43.59,56.53,5.21,103165,16.76,16.21,7721,24.0,84.72,18127.0,56.84,25.27,16847.0,8.34,1280,14.82,25.78,17543.0,84.07,16303.0,84.07,46.84,8.55,4429,68.66,8.85,68.44,10.15,12.78,9.18,83.44,67.19,10.26
Debagarh,Odisha,8.7,52,8.8,46,89.86,8.6,6,77.7,90.74,9.0,7942,2.31,8.8,6855,81.39,11.0,74.88,82.32,6.6,30681,13.0,14.0,4404,18.4,80.29,6397.0,87.04,19.7,5505.0,1.56,892,9.6,20.0,5983.0,97.48,5176.0,97.6,24.4,7.9,1095,90.95,7.8,91.4,9.8,4.7,8.8,78.8,89.32,8.9
Koraput,Odisha,7.0,45,8.2,34,81.76,9.2,11,49.7,80.25,7.3,8975,7.22,5.6,7420,51.65,5.8,47.89,55.61,5.4,35559,17.0,17.0,6197,24.8,62.07,7326.0,43.97,26.9,6011.0,1.24,1315,17.1,27.8,6735.0,96.73,5542.0,96.9,76.24,6.8,1352,76.89,7.0,78.33,9.4,25.65,7.8,49.26,71.35,8.6
